"Folge","Titel","Sender","Erstausstrahlung","Ermittler","Fall","Autor","Regie","Besonderheiten"
998,"Echolot","Radio Bremen","30.10.2016","Lürsen und Stedefreund",34,"Christine Otto, Peter Henning","Claudia Prietzel, Peter Henning","Ausstrahlung im Rahmen der ARD-Themenwoche „Zukunft der Arbeit“"
999,"Borowski und das verlorene Mädchen","NDR","06.11.2016","Borowski und Brandt",27,"Charlotte I. Pehlivani","Raymond Ley",""
1000,"Taxi nach Leipzig","NDR","13.11.2016","Borowski",28,"Alexander Adolph","Alexander Adolph","Gastauftritt Oberleutnant Peter  Klaus aus Folge 1"
1001,"Es lebe der Tod","HR","20.11.2016","Murot",6,"Erol Yesilkaya","Sebastian Marka",""
1002,"Wofür es sich zu leben lohnt","SWR/SRF","04.12.2016","Blum und Perlmann, Matteo Lüthi",31,"Sathyan Ramesh und Aelrun Goette","Aelrun Goette","Letzter Fall für das Team aus Konstanz"
1003,"Dunkelfeld","RBB","11.12.2016","Rubin und Karow",4,"Stefan Kolditz","Christian von Castelberg",""
1004,"Wendehammer","HR","18.12.2016","Janneke und Brix",4,"Stephan Brüggenthies, Andrea Heller","Markus Imboden",""
1005,"Klingelingeling","BR","26.12.2016","Batic und Leitmayr",74,"Dinah Marte Golch","Markus Imboden",""
1006,"Land in dieser Zeit","HR","08.1.2017","Janneke und Brix",5,"Khyana el Bitar, Dörte Franke und Stephan Brüggenthies","Markus Imboden",""
1007,"Wacht am Rhein","WDR","15.1.2017","Ballauf und Schenk",68,"Jürgen Werner","Sebastian Ko",""
1008,"Schock","ORF","22.1.2017","Eisner und Fellner",39,"Rupert Henning","Rupert Henning",""
1009,"Söhne und Väter","SR","29.1.2017","Stellbrink und Marx",6,"Michael Vershinin, Zoltan Spirandelli","Zoltan Spirandelli",""
1010,"Der scheidende Schupo","MDR","05.2.2017","Lessing und Dorn",4,"Murmel Clausen, Andreas Pflüger","Sebastian Marka",""
1011,"Tanzmariechen","WDR","19.2.2017","Ballauf und Schenk",69,"Jürgen Werner","Thomas Jauch",""
1012,"Babbeldasch","SWR","26.2.2017","Odenthal und Kopper",65,"Sönke Andresen","Axel Ranisch",""
1013,"Kriegssplitter","SRF","05.3.2017","Flückiger und Ritschard",12,"Stefan Brunner, Lorenz Langenegger","Tobias Ineichen",""
1014,"Nachtsicht","Radio Bremen","12.3.2017","Lürsen und Stedefreund",35,"Matthias Tuchmann, Stefanie Veith","Florian Baxmeyer",""
1015,"Borowski und das dunkle Netz","NDR","19.3.2017","Borowski und Brandt",29,"Thomas Wendrich","David Wnendt",""
1016,"Nachbarn","WDR","26.3.2017","Ballauf und Schenk",70,"Christoph Wortberg","Torsten C. Fischer",""
1017,"Fangschuss","WDR","02.4.2017","Thiel und Boerne",31,"Stefan Cantz, Jan Hinter","Buddy Giovinazzo",""
1018,"Am Ende geht man nackt","BR","09.4.2017","Voss, Ringelhahn, Goldwasser, Fleischer und Schatz",3,"Holger Karsten Schmidt","Markus Imboden",""
1019,"Sturm","WDR","17.4.2017","Faber, Bönisch, Dalay und Kossik",10,"Sönke Lars Neuwöhner, Martin Eigler","Richard Huber","Letzter Fall für Kossik"
1020,"Wehrlos","ORF","23.4.2017","Eisner und Fellner",40,"Uli Brée","Christopher Schier",""
1021,"Der Tod ist unser ganzes Leben","BR","30.4.2017","Batic und Leitmayr",75,"Holger Joos","Philip Koch",""
1022,"Die Liebe, ein seltsames Spiel","BR","21.5.2017","Batic und Leitmayr",76,"Katrin Bühlig","Rainer Kaufmann",""
1023,"Amour Fou","RBB","05.6.2017","Rubin und Karow",5,"Christoph Darnstädt","Vanessa Jopp",""
1024,"Level X","MDR","11.6.2017","Sieland, Gorniak und Schnabel",3,"Richard Kropf","Gregor Schnitzler",""
1025,"Borowski und das Fest des Nordens","NDR","18.6.2017","Borowski und Brandt",30,"Markus Busch nach einer Vorlage von Henning Mankell","Jan Bonny","Letzter Fall mit KK Sarah Brandt. Kino-Premiere am 1. Oktober 2016 auf dem Filmfest Hamburg."
1026,"Virus","ORF","27.8.2017","Eisner und Fellner",41,"Rupert Henning","Barbara Eder",""
1027,"Stau","SWR","10.9.2017","Lannert und Bootz",20,"Dietrich Brüggemann und Daniel Bickermann","Dietrich Brüggemann","Premiere am 2. Juni 2017 auf dem SWR Sommerfestival in Stuttgart, Nominiert für den Adolf-Grimme-Preis 2018, Gewinner des Deutscher FernsehKrimi-Preis 2018"
1028,"Zwei Leben","SRF","17.9.2017","Flückiger und Ritschard",13,"Mats Frey und Felix Benesch","Walter Weber",""
1029,"Goldbach","SWR","01.10.2017","Tobler und Berg",1,"Bernd Lange","Robert Thalheim","Kino-Premiere am 2. September 2017 beim Festival des Deutschen Films in Ludwigshafen, am 20. September 2017 bei ""Tatort Eifel - Das Krimifestival"" in Daun und am 26. September als Preview im Studio Freiburg des SWR. "
1030,"Hardcore","BR","08.10.2017","Batic und Leitmayr",77,"Philip Koch und Bartosz Grudziecki","Philip Koch",""
1031,"Der rote Schatten","SWR","15.10.2017","Lannert und Bootz",21,"Raul Grothe[62] und Dominik Graf","Dominik Graf","Premiere am 23. September 2017 bei moving history – Festival des historischen Films in Potsdam"
1032,"Zurück ins Licht","Radio Bremen","22.10.2017","Lürsen und Stedefreund",36,"Christian Jeltsch, Olaf Kraemer","Florian Baxmeyer","Premiere am 8. Juni 2017 auf dem Filmfest in Emden"
1033,"Fürchte dich","HR","29.10.2017","Janneke und Brix",6,"Andy Fetscher, Christian Mackrodt","Andy Fetscher","Filmpremiere auf dem Münchner Filmfest am 23. Juni 2017 und beim Festival des Deutschen Films in Ludwigshafen am 8. September 2017"
1034,"Der Fall Holdt","NDR","05.11.2017","Lindholm",25,"Jan Braren","Anne Zohra Berrached","Premiere am 14. September 2017 auf dem Filmfest in Oldenburg"
1035,"Auge um Auge","MDR","12.11.2017","Sieland, Gorniak und Schnabel",4,"Ralf Husmann, Peter Probst","Franziska Meletzky",""
1036,"Gott ist auch nur ein Mensch","WDR","19.11.2017","Thiel und Boerne",32,"Christoph Silber, Thorsten Wettcke","Lars Jessen",""
1037,"Böser Boden","NDR","26.11.2017","Falke und Grosz",8,"Georg Lippert, Marvin Kren","Sabine Bernardi",""
1038,"Dein Name sei Harbinger","RBB","10.12.2017","Rubin und Karow",6,"Matthias Tuchmann, Michael Comtesse","Florian Baxmeyer",""
1039,"Dunkle Zeit","NDR","17.12.2017","Falke und Grosz",9,"Niki Stein","Niki Stein",""
1040,"Der wüste Gobi","MDR","26.12.2017","Lessing und Dorn",5,"Murmel Clausen, Andreas Pflüger","Ed Herzog",""
1041,"Mord ex Machina","SR","01.1.2018","Stellbrink und Marx",7,"Hendrik Hölzemann","Christian Theede",""
1042,"Kopper","SWR","07.1.2018","Odenthal und Kopper",66,"Patrick Brunken","Roland Suso Richter","Letzter Fall für Kopper."
1043,"Die Faust","ORF","14.1.2018","Eisner und Fellner",42,"Mischa Zickler","Christopher Schier",""
1044,"Bausünden","WDR","21.1.2018","Ballauf und Schenk",71,"Uwe Erichsen, Wolfgang Wysocki","Kaspar Heidelbach","letzte Folge mit Assistent Tobias Reisser (Patrick Abozen)"
1045,"Déjà-vu","MDR","28.1.2018","Sieland, Gorniak und Schnabel",5,"Mark Monheim, Stephan Wagner","Dustin Loose",""
1046,"Tollwut","WDR","04.2.2018","Faber, Bönisch und Dalay",11,"Jürgen Werner","Dror Zahavi","Mit Jan Pawlak als verdeckter Ermittler"
1047,"Der kalte Fritte","MDR","11.2.2018","Lessing und Dorn",6,"Murmel Clausen","Titus Selge",""
1048,"Meta","RBB","18.2.2018","Rubin und Karow",7,"Erol Yesikaya","Sebastian Marka",""
1049,"Borowski und das Land zwischen den Meeren","NDR","25.2.2018","Borowski",31,"Peter Bender, Ben Braeunlich und Sven Bohse","Sven Bohse",""
1050,"Waldlust","SWR","04.3.2018","Odenthal und Stern",67,"Sönke Andresen","Axel Ranisch",""
1051,"Im toten Winkel","Radio Bremen","11.3.2018","Lürsen und Stedefreund",37,"Katrin Bühlig","Philip Koch",""
1052,"Mitgehangen","WDR","18.3.2018","Ballauf und Schenk",72,"Johannes Rotter","Sebastian Ko","Assistent Norbert Jütte (Roland Riebeling) komplettiert das Team"
